Indirizzo;Attiva;ZonaDec;Longitudine;Latitudine;Location
Arco Della Pace;1;1;9.17246;45.475671;45.475671, 9.17246
Bastioni di Porta Nuova 23;1;1;9.192273;45.478576;45.478576, 9.192273
Corso di Porta Romana 116;1;1;9.199076;45.454095;45.454095, 9.199076
Corso Vittorio Emanuele;1;1;9.195012;45.465225;45.465225, 9.195012
Galleria Ciro Fontana 1;1;1;9.191297;45.46565;45.46565, 9.191297
Galleria Vittorio Emanuele;1;1;9.189885;45.465609;45.465609, 9.189885
Giardini Bazlen;1;1;9.198169;45.454618;45.454618, 9.198169
Giardini viale Montello 5;1;1;9.181281;45.48072;45.48072, 9.181281
Largo Cairoli;1;1;9.182257;45.468194;45.468194, 9.182257
Largo Treves 1;1;1;9.186616;45.475248;45.475248, 9.186616
Piazza Affari;1;1;9.183272;45.464728;45.464728, 9.183272
Piazza dei Mercanti;1;1;9.187529;45.464649;45.464649, 9.187529
Piazza Beccaria / Piazza Fontana;1;1;9.195464;45.464335;45.464335, 9.195464
Piazza Cadorna;1;1;9.176668;45.468188;45.468188, 9.176668
Piazza Castello;1;1;9.180421;45.469639;45.469639, 9.180421
Piazza Cordusio;1;1;9.186339;45.465469;45.465469, 9.186339
Piazza della Scala;1;1;9.19019;45.466857;45.466857, 9.19019
Piazza Diaz;1;1;9.189883;45.462393;45.462393, 9.189883
Piazza Duomo  lato Via Mercanti;1;1;9.188759;45.464612;45.464612, 9.188759
Piazza Duomo  lato Via Orefici;1;1;9.188766;45.463735;45.463735, 9.188766
Piazza Duomo / Arcivescovado;1;1;9.192475;45.463796;45.463796, 9.192475
Piazza Duomo / Corso Vittorio Emanuele;1;1;9.192497;45.464618;45.464618, 9.192497
Piazza Duomo / Palazzo Reale;1;1;9.190681;45.463587;45.463587, 9.190681
Piazza Duomo / Via San Raffaele;1;1;9.191294;45.464738;45.464738, 9.191294
Piazza Duomo 10-14 (palazzo Reale);1;1;9.190866;45.463339;45.463339, 9.190866
Piazza Liberty;1;1;9.194101;45.465511;45.465511, 9.194101
Piazza San Babila;1;1;9.197407;45.466415;45.466415, 9.197407
Via Azario 3;1;1;9.168458;45.459959;45.459959, 9.168458
Via Bergamini 5;0;1;9.19399;45.461982;45.461982, 9.19399
